Time,Latitude,Longtitude,Altitude,Relative Altitude,GPS Vx,GPS Vy,GPS Vz,Heading,Roll,Pitch,Yaw,Rollspeed,Pitchspeed,YawSpeed,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.975,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.025,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.05,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.075,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.125,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.15,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.175,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.225,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.25,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.275,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.325,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.35,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.375,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.425,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.45,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.475,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.525,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.55,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.575,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.625,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.65,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.675,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.725,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.75,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.775,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.825,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.85,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.875,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.925,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.95,0,0,0,0,0,0,0,0,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
1.975,-353632618,1491652357,597860,13809,29,-72,-83,29623,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
2,-353632618,1491652357,597860,13809,29,-72,-83,29623,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
2.025,-353632618,1491652357,597860,13809,29,-72,-83,29623,-0.0239081,-0.300478,-1.11304,-0.0203899,-0.234527,-0.0529183,0,0,0,0,0,0,0,0,0
